date,close,
15,34453,
14,32588,
13,31968,
12,31368,
11,30553,
10,29745,
9,29723,
8,29087,
7,29249,
6,28416,
5,26261,
4,25027,
3,24630,
2,23619,
1,23602,
0,22428,
99,21312,
98,20462,
97,19511,
96,18369,
95,17265,
94,16478,
93,15761,
92,14922,
91,14449,
90,13913,
89,13226,
88,12311,
87,11538,
86,10741,
85,10173,
84,9584,
83,8780,
82,8195,
81,7440,
80,6772,
79,6026,
78,5599,
77,5291,
76,4875,
75,4513,
74,4161,
73,3799,
72,3577,
71,3333,
70,3138,
69,2945,
68,2732,
67,2483,
